,addr,busiNm,powerType,stat,statNm
60,서울특별시 노원구 노원로 330,환경부,급속(50kW),2,롯데마트 중계점
61,서울특별시 노원구 동일로204가길 12,환경부,급속(50kW),2,홈플러스 중계점
62,서울특별시 노원구 하계동 251-8,환경부,급속(50kW),3,실증용 Mock-up 주택 홍보관
63,서울특별시 노원구 하계동 251-8,환경부,급속(50kW),9,실증용 Mock-up 주택 홍보관
64,서울특별시 동대문구 천호대로 145,환경부,급속(50kW),2,동대문구청
65,서울특별시 동작구 흑석로 102,환경부,급속(50kW),2,중앙대학교병원 다정관 주차장
66,서울특별시 마포구 토정로 2,환경부,급속(50kW),2,양화진공영주차장
67,서울특별시 마포구 효창목길 31,환경부,급속(50kW),5,공덕1-1공영주차장
68,서울특별시 서대문구 홍제내길 227,환경부,급속(50kW),2,홍제견인차량보관소 주차장
69,서울특별시 서대문구 홍제내길 227,환경부,급속(50kW),2,홍제견인차량보관소 주차장
70,서울특별시 서초구 남부순환로 340길 58,환경부,급속(50kW),2,서울시인재개발원
71,서울특별시 서초구 양재대로12길 74,환경부,급속(50kW),2,서울추모공원
72,서울특별시 송파구 잠실동 84,환경부,급속(50kW),3,아시아공원 공영주차장
73,서울특별시 송파구 잠실동 84,환경부,급속(50kW),3,아시아공원 공영주차장
74,서울특별시 송파구 잠실동 84,환경부,급속(50kW),2,아시아공원 공영주차장
75,서울특별시 송파구 중대로 80,환경부,급속(50kW),2,롯데마트 송파점
76,서울특별시 영등포구 당산로 42,환경부,급속(50kW),2,홈플러스 영등포점
77,서울특별시 영등포구 도림로 264 ,환경부,급속(50kW),9,신길 제5동 주민센터
78,서울특별시 영등포구 신길로40길 5,환경부,급속(50kW),2,신길4동1마을공원 공영주차장
79,서울특별시 영등포구 영신로 183,환경부,급속(50kW),2,당산에스에이치빌 아파트 앞
80,서울특별시 영등포구 영중로3길 7,환경부,급속(50kW),2,영등포 제3공영
81,서울특별시 용산구 원효로35길 53,환경부,급속(50kW),2,신창동 공영주차장
82,서울특별시 용산구 이태원로 224-19,환경부,급속(50kW),2,한남동 공영주차장
83,서울특별시 은평구 수색로 342-1,환경부,급속(50kW),2,현대자동차 수색대리점
84,서울특별시 은평구 진관1로 40,환경부,급속(50kW),3,은평구민체육센터
85,서울특별시 종로구 인사동5길 29,환경부,급속(50kW),2,태화빌딩
86,서울특별시 종로구 창경궁로 215,환경부,급속(50kW),2,한국예술종합학교(종로)
87,서울특별시 중구 장충단로 59,환경부,급속(50kW),2,국립극장
88,서울특별시 중구 장충단로 59,환경부,급속(50kW),2,국립극장
89,서울특별시 중랑구 망우로 353,환경부,급속(50kW),2,홈플러스 상봉점
90,서울특별시 중랑구 신내로 201,환경부,급속(50kW),3,홈플러스 신내점
91,서울특별시 중랑구 용마산로 250-12,환경부,급속(50kW),3,용마폭포공원 공영주차장
92,서울특별시 서초구 양재대로12길 73-71 (원지동),환경부,급속(50kW),3,서울만남휴게소(부산방향)
93,서울특별시 서초구 양재대로12길 73-71 (원지동),환경부,급속(50kW),2,서울만남휴게소(부산방향)
94,서울특별시 강남구 테헤란로606,환경부,급속(50kW),2,파크하얏트서울호텔
